index,station,sitename,unit,first_year,last_year,notes
8457,802,Kisozi,1 omslag,1956,1958,802 Kisozi Marais 1956-1958
8458,803,Luvironza,1 omslag,1956,1958,803 Luvironza 1956-1958
8459,804,Musasa,1 omslag,1956,1958,804 Musasa Plateau 1956-1958
8460,805,Musasa,2 stukken,1956,1957,805 Musasa Marais 1956-1957
8461,806,Rubona,1 omslag,1956,1958,806 Rubona Colline 1956-1958
8462,807,Rubona,1 omslag,1956,1958,807 Rubona Marais 1956-1958
8463,901,Lusinga,1 omslag,1956,1958,901 Lusinga 1956-1958
8464,903,Rumangabo,1 omslag,1956,1958,903 Rumangabo 1956-1958
8465,905,Mutsora,1 omslag,1956,1958,905 Mutsora 1956-1958
8466,906,Nagero,1 omslag,1956,1958,906 Nagero 1956-1958
8467,907,Mont,1 omslag,1958,NA,907 Mont Delele 1958
8468,1,Yangambi,,1956,1959,1 Yangambi km 5 1956-1959
8469,2,Yangambi,,1956,1959,2 Yangambi Essai Commun 1956-1959
8470,3,Yaosuka,,1956,1959,3 Yaosuka 1956-1959
8471,4,Yaekama,,1956,1959,4 Yaekama 1956-1959
8472,5,Yangambi,,1956,1959,5 Yangambi Lokele 1956-1959
8473,101,Gimbi,,1956,1959,101 Gimbi Plateau 1956-1959
8474,102,Gimbi,,1956,1959,102 Gimbi Vallée 1956-1959
8475,103,Kondo,,1956,1959,103 Kondo 1956-1959
8476,104,Luki,,1956,1959,104 Luki Plateau 1956-1959
8477,105,Luki,,1956,1959,105 Luki Vallée 1956-1959
8478,106,Mvuazi,,1956,1959,106 Mvuazi Poste 1956-1959
8479,107,Mvuazi,,1956,1959,107 Mvuazi Vallée 1956-1959
8480,109,Zomfi,,1956,1958,109 Zomfi SAL 1956-1958
8481,201,Gazi,,1956,1959,201 Gazi 1956-1959
8482,202,Yaligimba,,1956,1959,202 Yaligimba 1956-1959
8483,203,Binga,,1956,1959,203 Binga 1956-1959
8484,204,Bongabo,,1956,1959,204 Bongabo 1956-1959
8485,205,Eala,,1956,1959,205 Eala 1956-1959
8486,206,Mukumari,,1956,1959,206 Mukumari 1956-1959
8487,207,Bokondji,,1956,1959,207 Bokondji 1956-1959
8488,210,Bembelota,,1957,1959,210 Bembelota 1957-1959
8489,301,Bambesa,,1956,1959,301 Bambesa 1956-1959
8490,302,Boketa,,1956,1959,302 Boketa 1956-1959
8491,303,Tukpwo,,1957,1959,303 Tukpwo 1957-1959
8492,304,Kutubongo,,1958,1959,304 Kutubongo 1958-1959
8493,305,Magombo,,1956,1958,305 Magombo 1956-1958
8494,401,Lubarika,,1956,1959,401 Lubarika 1956-1959
8495,402,Kiyaka,,1956,1959,402 Kiyaka Plateau 1956-1959
8496,403,Kiyaka,,1956,1959,403 Kiyaka Vallée 1956-1959
8497,404,Bena,,1956,1959,404 Bena Longo 1956-1959
8498,405,Gandajika,,1956,1959,405 Gandajika 1956-1959
8499,406,Kibangula,,1956,1959,406 Kibangula 1956-1959
8500,501,Keyberg,,1956,1959,501 Keyberg Plateau 1956-1959
8501,502,Keyberg,,1956,1959,502 Keyberg Verger 1956-1959
8502,503,Kaniama,,1956,1959,503 Kaniama 1956-1959
8503,504,Kipopo,,1956,1959,504 Kipopo 1956-1959
8504,505,Simama,,1956,1959,505 Simama 1956-1959
8505,601,Mole,,1956,1959,601 Mole 1956-1959
8506,602,Nyamunyunye,,1956,1959,602 Nyamunyunye 1956-1959
8507,603,Tshibinda,,1956,1959,603 Tshibinda 1956-1959
8508,604,Mulungu,,1956,1958,604 Mulungu Kanonzi 1956-1958
8509,605,Mont,,1956,1959,605 Mont Bukulamisa 1956-1959
8510,606,Kisuma,,1956,1958,606 Kisuma 1956-1958
8511,607,Ndihira,,1956,1959,607 Ndihira 1956-1959
8512,701,Nioka,,1956,1959,701 Nioka Drusi 1956-1959
8513,702,Nioka,,1956,1959,702 Nioka Lekwa 1956-1959
8514,703,Mont,,1956,1959,703 Mont Hawa 1956-1959
8515,704,Nioka,,1956,1959,704 Nioka Marais 1956-1959
8516,801,Kisozi,,1956,1959,801 Kisozi Colline 1956-1959
8517,802,Kisozi,,1956,1958,802 Kisozi Marais 1956-1958
8518,803,Luvironza,,1956,1959,803 Luvironza 1956-1959
8519,804,Musasa,,1956,1959,804 Musasa Plateau 1956-1959
8520,805,Musasa,,1956,1958,805 Musasa Marais 1956-1958
8521,806,Rubona,,1956,1959,806 Rubona Colline 1956-1959
8522,807,Rubona,,1956,1959,807 Rubona Marais 1956-1959
8523,808,Rwerere,,1959,NA,808 Rwerere 1959
8524,809,Rwerere,,1959,NA,809 Rwerere Rugezi 1959
8525,901,Lusinga,,1956,1959,901 Lusinga 1956-1959
8526,902,Gabiro,,1956,1959,902 Gabiro 1956-1959
8527,903,Rumangabo,,1956,1959,903 Rumangabo 1956-1959
8528,904,Rwindi,,1956,1959,904 Rwindi 1956-1959
8529,905,Mutsora,,1956,1959,905 Mutsora 1956-1959
8530,906,Nagero,,1956,1959,906 Nagero 1956-1959
8531,907,Mont,,1958,1959,907 Mont Delele 1958-1959
8532,1,Yangambi,,1956,1959,1 Yangambi km 5 1956-1959
8533,2,Yangambi,,1956,1959,2 Yangambi Essai Commun 1956-1959
8534,3,Yaosuka,,1956,1959,3 Yaosuka 1956-1959
8535,4,Yaekama,,1957,1959,4 Yaekama 1957-1959
8536,5,Yangambi,,1958,1959,5 Yangambi Lokele 1958-1959
8537,101,Gimbi,,1956,1959,101 Gimbi Plateau 1956-1959
8538,102,Gimbi,,1956,1958,102 Gimbi Vallée 1956-1958
8539,103,Kondo,,1956,1959,103 Kondo 1956-1959
8540,104,Luki,,1956,1959,104 Luki Plateau 1956-1959
8541,105,Luki,,1956,1959,105 Luki Vallée 1956-1959
8542,106,Mvuazi,,1956,1959,106 Mvuazi Poste 1956-1959
8543,107,Mvuazi,,1956,1959,107 Mvuazi Vallée 1956-1959
8544,109,Zomfi,,1956,1958,109 Zomfi SAL 1956-1958
8545,201,Gazi,,1956,1959,201 Gazi 1956-1959
8546,202,Yaligimba,,1956,1959,202 Yaligimba 1956-1959
8547,203,Binga,,1956,1959,203 Binga 1956-1959
8548,204,Bongabo,,1956,1959,204 Bongabo 1956-1959
8549,205,Eala,,1956,1959,205 Eala 1956-1959
8550,206,Mukumari,,1956,1959,206 Mukumari 1956-1959
8551,207,Bokondji,,1956,1959,207 Bokondji 1956-1959
8552,210,Bembelota,,1957,1959,210 Bembelota 1957-1959
8553,301,Bambesa,,1956,1959,301 Bambesa 1956-1959
8554,302,Boketa,,1956,1959,302 Boketa 1956-1959
8555,303,Tukpwo,,1956,1959,303 Tukpwo 1956-1959
8556,304,Kutubongo,,1956,1959,304 Kutubongo 1956-1959
8557,305,Magombo,,1956,1959,305 Magombo 1956-1959
8558,401,Lubarika,,1956,1959,401 Lubarika 1956-1959
8559,402,Kiyaka,,1956,1959,402 Kiyaka Plateau 1956-1959
8560,403,Kiyaka,,1956,1959,403 Kiyaka Vallée 1956-1959
8561,404,Bena,,1956,1959,404 Bena Longo 1956-1959
8562,405,Gandajika,,1956,1959,405 Gandajika 1956-1959
8563,406,Kibangula,,1956,1959,406 Kibangula 1956-1959
8564,501,Keyberg,,1956,1959,501 Keyberg Plateau 1956-1959
8565,502,Keyberg,,1956,1959,502 Keyberg Verger 1956-1959
8566,503,Kaniama,,1956,1959,503 Kaniama 1956-1959
8567,504,Kipopo,,1956,1959,504 Kipopo 1956-1959
8568,505,Simama,,1956,1959,505 Simama 1956-1959
8569,601,Mole,,1956,1959,601 Mole 1956-1959
8570,602,Nyamunyunye,,1956,1959,602 Nyamunyunye 1956-1959
8571,603,Tshibinda,,1956,1959,603 Tshibinda 1956-1959
8572,604,Mulungu,,1956,1958,604 Mulungu Kanonzi 1956-1958
8573,605,Mont,,1956,1959,605 Mont Bukulamisa 1956-1959
8574,606,Kisuma,,1956,1958,606 Kisuma 1956-1958
8575,607,Ndihira,,1956,1959,607 Ndihira 1956-1959
8576,701,Nioka,,1956,1959,701 Nioka Drusi 1956-1959
8577,702,Nioka,,1956,1959,702 Nioka Lekwa 1956-1959
8578,703,Mont,,1956,1959,703 Mont Hawa 1956-1959
8579,704,Nioka,,1956,1959,704 Nioka Marais 1956-1959
8580,801,Kisozi,,1956,1959,801 Kisozi Colline 1956-1959
8581,802,Kisozi,,1956,1958,802 Kisozi Marais 1956-1958
8582,803,Luvironza,,1956,1959,803 Luvironza 1956-1959
8583,804,Musasa,,1956,1959,804 Musasa Plateau 1956-1959
8584,805,Musasa,,1956,1958,805 Musasa Marais 1956-1958
8585,806,Rubona,,1956,1959,806 Rubona Colline 1956-1959
8586,807,Rubona,,1956,1959,807 Rubona Marais 1956-1959
8587,808,Rwerere,,1959,NA,808 Rwerere 1959
8588,809,Rwerere,,1959,NA,809 Rwerere Rugezi 1959
8589,901,Lusinga,,1956,1959,901 Lusinga 1956-1959
8590,902,Gabiro,,1956,1959,902 Gabiro 1956-1959
8591,903,Rumangabo,,1956,1959,903 Rumangabo 1956-1959
8592,904,Rwindi,,1956,1959,904 Rwindi 1956-1959
8593,905,Mutsora,,1956,1959,905 Mutsora 1956-1959
8594,906,Nagero,,1956,1959,906 Nagero 1956-1959
8595,907,Mont,,1958,1959,907 Mont Delele 1958-1959
8596,2,Yangambi,,1952,1959,2 Yangambi Essai Commun 1952-1959
8597,3,Yaosuka,,1952,1959,3 Yaosuka 1952-1959
8598,4,Yaekama,,1957,1959,4 Yaekama 1957-1959
8599,5,Yangambi,,1958,1959,5 Yangambi Lokele 1958-1959
8600,101,Gimbi,,1953,1959,101 Gimbi Plateau 1953-1959
8601,102,Gimbi,,1956,1958,102 Gimbi Vallée 1956-1958
8602,103,Kondo,,1953,1959,103 Kondo 1953-1959
8603,104,Luki,,1953,1959,104 Luki-Plateau 1953-1959
8604,105,Luki,,1954,1959,105 Luki Vallée 1954-1959
8605,106,Mvuazi,,1953,1959,106 Mvuazi Poste 1953-1959
8606,107,Mvuazi,,1953,1959,107 Mvuazi Vallée 1953-1959
8607,109,Zomfi,,1956,1958,109 Zomfi SAL 1956-1958
8608,201,Gazi,,1952,1959,201 Gazi 1952-1959
8609,202,Yaligimba,,1952,1959,202 Yaligimba 1952-1959
8610,203,Binga,,1952,1959,203 Binga 1952-1959
8611,204,Bongabo,,1952,1959,204 Bongabo 1952-1959
8612,206,Mukumari,,1953,1959,206 Mukumari 1953-1959
8613,207,Bokondji,,1955,1959,207 Bokondji 1955-1959
8614,210,Bembelota,,1957,1959,210 Bembelota 1957-1959
8615,302,Boketa,,1952,1959,302 Boketa 1952-1959
8616,303,Tukpwo,,1954,1959,303 Tukpwo 1954-1959
8617,304,Kutubongo,,1954,1959,304 Kutubongo 1954-1959
8618,305,Magombo,,1956,1959,305 Magombo 1956-1959
8619,401,Lubarika,,1952,1959,401 Lubarika 1952-1959
8620,402,Kiyaka,,1953,1959,402 Kiyaka Plateau 1953-1959
8621,403,Kiyaka,,1953,1959,403 Kiyaka Vallée 1953-1959
8622,404,Bena,,1954,1959,404 Bena Longo 1954-1959
8623,405,Gandajika,,1953,1959,405 Gandajika 1953-1959
8624,406,Kibangula,,1954,1959,406 Kibangula 1954-1959
8625,501,Keyberg,,1954,1959,501 Keyberg Plateau 1954-1959
8626,502,Keyberg,,1954,1959,502 Keyberg Verger 1954-1959
8627,503,Kaniama,,1954,1959,503 Kaniama 1954-1959
8628,504,Kipopo,,1956,1959,504 Kipopo 1956-1959
8629,505,Simama,,1956,1959,505 Simama 1956-1959
8630,601,Mole,,1952,1959,601 Mole 1952-1959
8631,602,Nyamunyunye,,1952,1959,602 Nyamunyunye 1952-1959
8632,603,Tshibinda,,1952,1959,603 Tshibinda 1952-1959
8633,604,Mulungu,,1952,1958,604 Mulungu Kanonzi 1952-1958
8634,605,Mont,,1954,1959,605 Mont Bukulamisa 1954-1959
8635,606,Kisuma,,1954,1958,606 Kisuma 1954-1958
8636,607,Ndihira,,1955,1959,607 Ndihira 1955-1959
8637,701,Nioka,,1952,1959,701 Nioka Drusi 1952-1959
8638,702,Nioka,,1952,1959,702 Nioka Lekwa 1952-1959
8639,703,Mont,,1952,1959,703 Mont Hawa 1952-1959
8640,704,Nioka,,1956,1959,704 Nioka Marais 1956-1959
8641,801,Kisozi,,1954,1959,801 Kisozi Colline 1954-1959
8642,802,Kisozi,,1954,1958,802 Kisozi Marais 1954-1958
8643,803,Luvironza,,1952,1959,803 Luvironza 1952-1959
8644,804,Musasa,,1954,1959,804 Musasa Plateau 1954-1959
8645,805,Musasa,,1955,1958,805 Musasa Marais 1955-1958
8646,806,Rubona,,1927,1939,806 Rubona Colline 1927-19391952-1959
8647,807,Rubona,,1954,1959,807 Rubona Marais 1954-1959
8648,808,Rwerere,,1959,NA,808 Rwerere 1959
8649,809,Rwerere,,1959,NA,809 Rwerere Rugezi 1959
8650,901,Lusinga,,1954,1959,901 Lusinga 1954-1959
8651,902,Gabiro,,1954,1959,902 Gabiro 1954-1959
8652,903,Rumangabo,,1955,1959,903 Rumangabo 1955-1959
8653,904,Rwindi,,1955,1959,904 Rwindi 1955-1959
8654,905,Mutsora,,1955,1959,905 Mutsora 1955-1959
8655,906,Nagero,,1956,1959,906 Nagero 1956-1959
8656,907,Mont,,1958,1959,907 Mont Delele 1958-1959
8657,1,Yangambi,,1956,1959,1 Yangambi km 5 1956-1959
8658,2,Yangambi,,1956,1959,2 Yangambi Essai Commun 1956-1959
8659,3,Yaosuka,,1956,1959,3 Yaosuka 1956-1959
8660,4,Yaekama,,1957,1959,4 Yaekama 1957-1959
8661,5,Yangambi,,1958,1959,5 Yangambi Lokele 1958-1959
8662,101,Gimbi,,1958,1959,101 Gimbi Plateau 1958-1959
8663,103,Kondo,,1958,1959,103 Kondo 1958-1959
8664,104,Luki,,1958,1959,104 Luki Plateau 1958-1959
8665,106,Mvuazi,,1958,1959,106 Mvuazi Poste 1958-1959
8666,201,Gazi,,1958,1959,201 Gazi 1958-1959
8667,202,Yaligimba,,1956,1959,202 Yaligimba 1956-1959
8668,203,Binga,,1957,1959,203 Binga 1957-1959
8669,204,Bongabo,,1957,1959,204 Bongabo 1957-1959
8670,205,Eala,,1957,1959,205 Eala 1957-1959
8671,206,Mukumari,,1957,1959,206 Mukumari 1957-1959
8672,207,Bokondji,,1957,1959,207 Bokondji 1957-1959
8673,210,Bembelota,,1957,1959,210 Bembelota 1957-1959
8674,301,Bambesa,,1956,1959,301 Bambesa 1956-1959
8675,302,Boketa,,1958,1959,302 Boketa 1958-1959
8676,303,Tukpwo,,1956,1959,303 Tukpwo 1956-1959
8677,304,Kutubongo,,1956,1959,304 Kutubongo 1956-1959
8678,305,Magombo,,1956,1959,305 Magombo 1956-1959
8679,401,Lubarika,,1957,1959,401 Lubarika 1957-1959
8680,402,Kiyaka,,1959,NA,402 Kiyaka Plateau 1959
8681,404,Bena,,1959,NA,404 Bena Longo 1959
8682,405,Gandajika,,1956,1959,405 Gandajika 1956-1959
8683,406,Kibangula,,1956,1959,406 Kibangula 1956-1959
8684,501,Keyberg,,1956,1959,501 Keyberg Plateau 1956-1959
8685,503,Kaniama,,1958,1959,503 Kaniama 1958-1959
8686,504,Kipopo,,1957,1959,504 Kipopo 1957-1959
8687,505,Simama,,1958,1959,505 Simama 1958-1959
8688,601,Mole,,1957,1959,601 Mole 1957-1959
8689,602,Nyamunyunye,,1957,1959,602 Nyamunyunye 1957-1959
8690,603,Tshibinda,,1957,1959,603 Tshibinda 1957-1959
8691,607,Ndihira,,1957,1959,607 Ndihira 1957-1959
8692,701,Nioka,,1956,1959,701 Nioka Drusi 1956-1959
8693,702,Nioka,,1956,1959,702 Nioka Lekwa 1956-1959
8694,703,Mont,,1956,1959,703 Mont Hawa 1956-1959
8695,704,Nioka,,1956,1959,704 Nioka Marais 1956-1959
8696,801,Kisozi,,1957,1959,801 Kisozi Colline 1957-1959
8697,803,Luvironza,,1957,1959,803 Luvironza 1957-1959
8698,804,Musasa,,1957,1959,804 Musasa Plateau 1957-1959
8699,806,Rubona,,1957,1959,806 Rubona Colline 1957-1959
8700,808,Rwerere,,1959,NA,808 Rwerere 1959
8701,901,Lusinga,,1958,1959,901 Lusinga 1958-1959
8702,902,Gabiro,,1957,1959,902 Gabiro 1957-1959
8703,903,Rumangabo,,1957,1959,903 Rumangabo 1957-1959
8704,904,Rwindi,,1957,1959,904 Rwindi 1957-1959
8705,905,Mutsora,,1958,1959,905 Mutsora 1958-1959
8706,906,Nagero,,1956,1959,906 Nagero 1956-1959
8707,907,Mont,,1958,1959,907 Mont Delele 1958-1959
8708,001,Yangambi,,1956,1959,001 Yangambi Km 5 1956-1959
8709,002,Yangambi,,1956,1959,002 Yangambi EC 1956-1959
8710,101,Gimbi,,1956,1959,101 Gimbi 1956-1959
8711,104,Luki,,1956,1959,104 Luki Plateau 1956-1959
8712,106,Muazi,,1956,1959,106 Muazi Poste 1956-1959
8713,301,Bambesa,,1956,1959,301 Bambesa 1956-1959
8714,302,Boketa,,1956,1959,302 Boketa 1956-1959
8715,402,Kiyaka,,1956,1959,402 Kiyaka Plateau 1956-1959
8716,405,Gandajika,,1956,1959,405 Gandajika 1956-1959
8717,501,Keyberg,,1956,1959,501 Keyberg Plateau 1956-1959
8718,505,Simama,,1956,1959,505 Simama 1956-1959
8719,601,Mole,,1956,1959,601 Mole 1956-1959
8720,701,Nioka,,1956,1959,701 Nioka Drusi 1956-1959
8721,703,Mont,,1956,1959,703 Mont Hawa 1956-1959
8722,801,Kisozi,,1956,1959,801 Kisozi Colline 1956-1959
8723,804,Musasa, ,1956,1959,804 Musasa Plateau 1956-1959 Toelichting: statistieken verzameld onder code (reeks 881 en 882)
8724,2,Yangambi,,1951,1955,2 Yangambi Essai Commun 1951-1955
8725,2,Yangambi,,1956,1959,2 Yangambi Essai Commun 1956-1959
8726,3,Yaosuka,,1951,1955,3 Yaosuka 1951-1955
8727,3,Yaosuka,,1956,1959,3 Yaosuka 1956-1959
8728,4,Yaekama,,1957,1958,4 Yaekama 1957-1958
8729,5,Yangambi,,1958,1959,5 Yangambi Lokele 1958-1959
8730,101,Gimbi,,1953,1959,101 Gimbi Plateau 1953-1959
8731,103,Kondo,,1954,1955,103 Kondo 1954-1955
8732,103,Kondo,,1956,1959,103 Kondo 1956-1959
8733,104,Luki,,1953,1959,104 Luki Plateau (jan-juni) 1953-1959
8734,104,Luki,,1953,1959,104 Luki Plateau (juli-dec) 1953-1959
8735,106,Mvuazi,,1953,1955,106 Mvuazi Poste 1953-1955
8736,106,Mvuazi,,1956,1959,106 Mvuazi Poste 1956-1959
8737,202,Yaligimba,,1952,1959,202 Yaligimba 1952-1959
8738,203,Binga,,1952,1955,203 Binga 1952-1955
8739,203,Binga,,1956,1959,203 Binga 1956-1959
8740,204,Bongabo,,1952,1955,204 Bongabo 1952-1955
8741,204,Bongabo,,1956,1959,204 Bongabo 1956-1959
8742,205,Eala,,1953,1955,205 Eala 1953-1955
8743,205,Eala,,1956,1959,205 Eala 1956-1959
8744,206,Mukumari,,1953,1955,206 Mukumari 1953-1955
8745,206,Mukumari,,1956,1959,206 Mukumari 1956-1959
8746,207,Bokondji,,1956,1959,207 Bokondji 1956-1959
8747,301,Bambesa,,1951,1955,301 Bambesa 1951-1955
8748,301,Bambesa,,1956,1959,301 Bambesa 1956-1959
8749,302,Boketa,,1952,1955,302 Boketa 1952-1955
8750,302,Boketa,,1956,1959,302 Boketa 1956-1959
8751,303,Tukpwo,,1954,1955,303 Tukpwo 1954-1955
8752,303,Tukpwo,,1956,1959,303 Tukpwo 1956-1959
8753,304,Kutubongo,,1956,1959,304 Kutubongo 1956-1959
8754,305,Magombo,,1956,1959,305 Magombo 1956-1959
8755,401,Lubarika,,1951,1955,401 Lubarika 1951-1955
8756,401,Lubarika,,1956,1959,401 Lubarika 1956-1959
8757,402,Kiyaka,,1953,1955,402 Kiyaka Plateau 1953-1955
8758,402,Kiyaka,,1956,1959,402 Kiyaka Plateau 1956-1959
8759,404,Bena,,1959,NA,404 Bena Longo 1959
8760,405,Gandajika,,1953,1959,405 Gandajika 1953-1959
8761,406,Kibangula,,1954,1955,406 Kibangula 1954-1955
8762,406,Kibangula,,1956,1959,406 Kibangula 1956-1959
8763,501,Keyberg,,1954,1955,501 Keyberg Plateau 1954-1955
8764,501,Keyberg,,1956,1959,501 Keyberg Plateau 1956-1959
8765,503,Kaniama,,1954,1955,503 Kaniama 1954-1955
8766,503,Kaniama,,1956,1959,503 Kaniama 1956-1959
8767,505,Simama,,1956,1959,505 Simama 1956-1959
8768,601,Mulungu,,1951,1955,601 Mulungu Molehe(?) 1951-1955
8769,601,Mole,,1956,1959,601 Mole 1956-1959
8770,603,Mulungu,,1952,1959,603 Mulungu-Tshibinda (jan-juni) 1952-1959
8771,603,Mulungu,,1951,1959,603 Mulungu-Tshibinda (juli-dec) 1951-1959
8772,605,Mont,,1954,1955,605 Mont Bukulamisa 1954-1955
8773,605,Mont,,1956,1959,605 Mont Bukulamisa 1956-1959
8774,607,Ndihira,,1956,1959,607 Ndihira 1956-1959
8775,701,Nioka,,1952,1959,701 Nioka Drusi (jan-juni) 1952-1959
8776,701,Nioka,,1952,1959,701 Nioka Drusi (juli-dec) 1952-1959
8777,703,Mont,,1951,1959,703 Mont Hawa 1951-1959
8778,801,Kisozi,,1955,1959,801 Kisozi Colline (jan-juni) 1955-1959
8779,801,Kisozi,,1955,1959,801 Kisozi Colline (juli-dec) 1955-1959
8780,804,Musasa,,1954,1955,804 Musasa (Colline?) 1954-1955
8781,804,Musasa,,1956,1959,804 Musasa Plateau 1956-1959
8782,808,Rwerere,,1959,NA,808 Rwerere 1959
8783,904,Rwindi,,1956,1959,904 Rwindi 1956-1959
8784,907,Mont,,1958,1959,907 Mont Delele 1958-1959
8785,1,Yangambi,,1956,1959,1 Yangambi km 5 1956-1959
8786,2,Yangambi,,1956,1959,2 Yangambi Essai Commun 1956-1959
8787,3,Yaosuka,,1956,1959,3 Yaosuka 1956-1959
8788,4,Yaekama,,1957,1959,4 Yaekama 1957-1959
8789,5,Yangambi,,1958,1959,5 Yangambi Lokele 1958-1959
8790,101,Gimbi,,1956,1959,101 Gimbi Plateau 1956-1959
8791,103,Kondo,,1956,1959,103 Kondo 1956-1959
8792,104,Luki,,1956,1959,104 Luki Plateau 1956-1959
8793,106,Mvuazi,,1956,1959,106 Mvuazi Poste 1956-1959
8794,201,Gazi,,1956,1959,201 Gazi 1956-1959
8795,202,Yaligimba,,1956,1959,202 Yaligimba 1956-1959
8796,203,Binga,,1956,1959,203 Binga 1956-1959
8797,204,Bongabo,,1956,1959,204 Bongabo 1956-1959
8798,205,Eala,,1956,1959,205 Eala 1956-1959
8799,206,Mukumari,,1956,1959,206 Mukumari 1956-1959
8800,207,Bokondji,,1956,1959,207 Bokondji 1956-1959
8801,210,Bembelota,,1957,1959,210 Bembelota 1957-1959
8802,301,Bambesa,,1956,1959,301 Bambesa 1956-1959
8803,303,Tukpwo,,1956,1959,303 Tukpwo 1956-1959
8804,304,Kutubongo,,1956,1959,304 Kutubongo 1956-1959
8805,305,Magombo,,1956,1959,305 Magombo 1956-1959
8806,401,Lubarika,,1956,1959,401 Lubarika 1956-1959
8807,402,Kiyaka,,1956,1959,402 Kiyaka Plateau 1956-1959
8808,404,Bena,,1956,1957,404 Bena Longo 1956-19571959
8809,405,Gandajika,,1956,1959,405 Gandajika 1956-1959
8810,406,Kibangula,,1956,1959,406 Kibangula 1956-1959
8811,501,Keyberg,,1956,1959,501 Keyberg Plateau 1956-1959
8812,502,Keyberg,,1956,1957,502 Keyberg Verger 1956-1957
8813,503,Kaniama,,1956,1959,503 Kaniama 1956-1959
8814,504,Kipopo,,1956,1959,504 Kipopo 1956-1959
8815,505,Simama,,1956,1959,505 Simama 1956-1959
8816,601,Mole,,1956,1959,601 Mole 1956-1959
8817,602,Nyamunyunye,,1956,1959,602 Nyamunyunye 1956-1959
8818,603,Tshibinda,,1956,1959,603 Tshibinda 1956-1959
8819,607,Ndihira,,1956,1959,607 Ndihira 1956-1959
8820,701,Nioka,,1956,1959,701 Nioka Drusi 1956-1959
8821,702,Nioka,,1956,1959,702 Nioka Lekwa 1956-1959
8822,703,Mont,,1957,1959,703 Mont Hawa 1957-1959
8823,801,Kisozi,,1956,1959,801 Kisozi Colline 1956-1959
8824,804,Musasa,,1956,1959,804 Musasa Plateau 1956-1959
8825,901,Lusinga,,1956,1959,901 Lusinga 1956-1959
8826,903,Rumangabo,,1956,1959,903 Rumangabo 1956-1959
8827,904,Rwindi,,1956,1959,904 Rwindi 1956-1959
8828,905,Mutsora,,1956,1959,905 Mutsora 1956-1959
8829,906,Nagero,,1956,1959,906 Nagero 1956-1959
8830,907,Mont,,1958,1959,907 Mont Delele 1958-1959
8831,1,Yangambi,,1956,1959,1 Yangambi Km 5 1956-1959
8832,2,Yangambi,,1956,1959,2 Yangambi Essai Commun 1956-1959
8833,3,Yaosuka,,1956,1959,3 Yaosuka 1956-1959
8834,4,Yaekama,,1957,1959,4 Yaekama 1957-1959
8835,5,Yangambi,,1958,1959,5 Yangambi Lokele 1958-1959
8836,101,Gimbi,,1956,1959,101 Gimbi Plateau 1956-1959
8837,102,Gimbi,,1956,1958,102 Gimbi Vallée 1956-1958
8838,103,Kondo,,1956,1959,103 Kondo 1956-1959
8839,104,Luki,,1956,1959,104 Luki Plateau 1956-1959
8840,105,Luki,,1956,1959,105 Luki Vallée 1956-1959
8841,106,Mvuazi,,1956,1959,106 Mvuazi Poste 1956-1959
8842,107,Mvuazi,,1956,1959,107 Mvuazi Vallée 1956-1959
8843,109,Zomfi,,1956,1958,109 Zomfi SAL 1956-1958
8844,201,Gazi,,1956,1959,201 Gazi 1956-1959
8845,202,Yaligimba,,1956,1959,202 Yaligimba 1956-1959
8846,203,Binga,,1956,1959,203 Binga 1956-1959
8847,204,Bongabo,,1956,1959,204 Bongabo 1956-1959
8848,205,Eala,,1956,1959,205 Eala 1956-1959
8849,206,Mukumari,,1956,1959,206 Mukumari 1956-1959
8850,207,Bokondji,,1956,1959,207 Bokondji 1956-1959
8851,210,Bembelota,,1957,1959,210 Bembelota 1957-1959
8852,301,Bambesa,,1956,1959,301 Bambesa 1956-1959
8853,302,Boketa,,1956,1959,302 Boketa 1956-1959
8854,303,Tukpwo,,1956,1959,303 Tukpwo 1956-1959
8855,304,Kutubongo,,1956,1959,304 Kutubongo 1956-1959
8856,305,Magombo,,1956,1959,305 Magombo 1956-1959
8857,401,Lubarika,,1956,1959,401 Lubarika 1956-1959
8858,402,Kiyaka,,1956,1959,402 Kiyaka Plateau 1956-1959
8859,403,Kiyaka,,1956,1959,403 Kiyaka Vallée 1956-1959
8860,404,Bena,,1956,1959,404 Bena Longo 1956-1959
8861,405,Gandajika,,1956,1959,405 Gandajika 1956-1959
8862,406,Kibanguka,,1956,1959,406 Kibanguka 1956-1959
8863,501,Keyberg,,1956,1959,501 Keyberg Plateau 1956-1959
8864,502,Keyberg,,1956,1959,502 Keyberg Verger 1956-1959
8865,503,Kaniama,,1956,1959,503 Kaniama 1956-1959
8866,504,Kipopo,,1956,1959,504 Kipopo 1956-1959
8867,505,Simama,,1956,1959,505 Simama 1956-1959
8868,601,Mole,,1956,1959,601 Mole 1956-1959
8869,602,Nyamunyunye,,1956,1959,602 Nyamunyunye 1956-1959
8870,603,Tshibinda,,1956,1959,603 Tshibinda 1956-1959
8871,604,Mulungu,,1956,1958,604 Mulungu Kanonzi 1956-1958
8872,605,Mont,,1956,1959,605 Mont Bukulamisa 1956-1959
8873,606,Kisuma,,1956,1958,606 Kisuma 1956-1958
8874,607,Ndihira,,1956,1959,607 Ndihira 1956-1959
8875,701,Nioka,,1956,1959,701 Nioka Drusi 1956-1959
